,Rank,Year,Movie,WorldwideBox Office,DomesticBox Office,InternationalBox Office
0,1,2009,Avatar,"$2,923,706,026","$785,221,649","$2,138,484,377"
1,2,2019,Avengers: Endgame,"$2,794,731,755","$858,373,000","$1,936,358,755"
2,3,2022,Avatar: The Way of Water,"$2,319,338,628","$683,972,050","$1,635,366,578"
3,4,1997,Titanic,"$2,222,985,568","$674,396,795","$1,548,588,773"
4,5,2015,Star Wars Ep. VII: The Force Awakens,"$2,064,615,817","$936,662,225","$1,127,953,592"
5,6,2018,Avengers: Infinity War,"$2,048,359,754","$678,815,482","$1,369,544,272"
6,7,2021,Spider-Man: No Way Home,"$1,910,048,245","$814,115,070","$1,095,933,175"
7,8,2015,Jurassic World,"$1,669,963,641","$652,306,625","$1,017,657,016"
8,9,2019,The Lion King,"$1,647,733,638","$543,638,043","$1,104,095,595"
9,10,2012,The Avengers,"$1,515,100,211","$623,357,910","$891,742,301"
10,11,2015,Furious 7,"$1,514,553,486","$353,007,020","$1,161,546,466"
11,12,2022,Top Gun: Maverick,"$1,481,230,730","$718,732,821","$762,497,909"
12,13,2019,Frozen II,"$1,437,862,795","$477,373,578","$960,489,217"
13,14,2015,Avengers: Age of Ultron,"$1,395,316,979","$459,005,868","$936,311,111"
14,15,2018,Black Panther,"$1,336,494,320","$700,059,566","$636,434,754"
15,16,2017,Star Wars Ep. VIII: The Last Jedi,"$1,331,635,141","$620,181,382","$711,453,759"
16,17,2011,Harry Potter and the Deathly Hallows:…,"$1,316,278,261","$381,193,157","$935,085,104"
17,18,2018,Jurassic World: Fallen Kingdom,"$1,308,323,302","$417,719,760","$890,603,542"
18,19,2017,Beauty and the Beast,"$1,268,697,483","$504,014,165","$764,683,318"
19,20,2013,Frozen,"$1,256,848,976","$400,953,009","$855,895,967"
20,21,2018,Incredibles 2,"$1,242,805,359","$608,581,744","$634,223,615"
21,22,2017,The Fate of the Furious,"$1,236,703,796","$225,764,765","$1,010,939,031"
22,23,2013,Iron Man 3,"$1,215,392,272","$408,992,272","$806,400,000"
23,24,2015,Minions,"$1,157,271,759","$336,045,770","$821,225,989"
24,25,2016,Captain America: Civil War,"$1,151,899,586","$408,084,349","$743,815,237"
25,26,2018,Aquaman,"$1,143,758,700","$335,061,807","$808,696,893"
26,27,2019,Spider-Man: Far From Home,"$1,132,107,522","$390,532,085","$741,575,437"
27,28,2019,Captain Marvel,"$1,129,576,094","$426,829,839","$702,746,255"
28,29,2011,Transformers: Dark of the Moon,"$1,123,794,079","$352,390,543","$771,403,536"
29,30,2003,The Lord of the Rings: The Return of …,"$1,121,386,981","$379,021,990","$742,364,991"
30,31,2012,Skyfall,"$1,110,526,981","$304,360,277","$806,166,704"
31,32,2014,Transformers: Age of Extinction,"$1,104,054,072","$245,439,076","$858,614,996"
32,33,2012,The Dark Knight Rises,"$1,082,228,107","$448,139,099","$634,089,008"
33,34,2019,Toy Story 4,"$1,073,064,540","$434,038,008","$639,026,532"
34,35,2019,Star Wars: The Rise of Skywalker,"$1,072,767,997","$515,202,542","$557,565,455"
35,36,2019,Joker,"$1,069,121,583","$335,451,311","$733,670,272"
36,37,2010,Toy Story 3,"$1,068,879,522","$415,004,880","$653,874,642"
37,38,2006,Pirates of the Caribbean: Dead Manâs …,"$1,066,179,725","$423,315,812","$642,863,913"
38,39,2023,The Super Mario Bros. Movie,"$1,057,191,075","$496,017,480","$561,173,595"
39,40,2016,Rogue One: A Star Wars Story,"$1,055,083,596","$533,539,991","$521,543,605"
40,41,2019,Aladdin,"$1,046,587,513","$355,559,216","$691,028,297"
41,42,2011,Pirates of the Caribbean: On Stranger…,"$1,045,713,802","$241,071,802","$804,642,000"
42,43,1993,Jurassic Park,"$1,045,573,035","$402,523,348","$643,049,687"
43,44,2017,Despicable Me 3,"$1,032,809,657","$264,624,300","$768,185,357"
44,45,1999,Star Wars Ep. I: The Phantom Menace,"$1,027,044,677","$474,544,677","$552,500,000"
45,46,2010,Alice in Wonderland,"$1,025,491,110","$334,191,110","$691,300,000"
46,47,2016,Finding Dory,"$1,025,006,125","$486,295,561","$538,710,564"
47,48,2012,The Hobbit: An Unexpected Journey,"$1,014,938,545","$303,003,568","$711,934,977"
48,49,2022,Jurassic World: Dominion,"$1,003,700,604","$376,851,080","$626,849,524"
49,50,2016,Zootopia,"$1,002,462,578","$341,268,248","$661,194,330"
50,51,2008,The Dark Knight,"$1,000,528,478","$534,987,076","$465,541,402"
51,52,1994,The Lion King,"$986,193,783","$421,785,283","$564,408,500"
52,53,2013,Despicable Me 2,"$975,216,835","$368,065,385","$607,151,450"
53,54,2001,Harry Potter and the Sorcererâs Stone,"$965,043,494","$317,871,467","$647,172,027"
54,55,2017,Jumanji: Welcome to the Jungle,"$961,632,807","$404,508,916","$557,123,891"
55,56,2007,Pirates of the Caribbean: At Worldâs …,"$960,996,492","$309,420,425","$651,576,067"
56,57,2013,The Hobbit: The Desolation of Smaug,"$959,358,436","$258,241,522","$701,116,914"
57,58,2016,The Jungle Book,"$953,535,821","$364,001,123","$589,534,698"
58,59,2022,Doctor Strange in the Multiverse of M…,"$952,224,986","$411,331,607","$540,893,379"
59,60,2010,Harry Potter and the Deathly Hallows:…,"$951,767,705","$296,131,568","$655,636,137"
60,61,2014,The Hobbit: The Battle of the Five Ar…,"$940,323,039","$255,119,788","$685,203,251"
61,62,2007,Harry Potter and the Order of the Pho…,"$939,619,849","$292,137,260","$647,482,589"
62,63,2022,Minions: The Rise of Gru,"$939,083,875","$369,695,210","$569,388,665"
63,64,2003,Finding Nemo,"$936,094,852","$380,529,370","$555,565,482"
64,65,2004,Shrek 2,"$935,253,978","$441,226,247","$494,027,731"
65,66,2009,Harry Potter and the Half-Blood Prince,"$929,411,069","$302,089,278","$627,321,791"
66,67,2002,The Lord of the Rings: The Two Towers,"$919,148,764","$342,548,984","$576,599,780"
67,68,2021,Chang jin hu,"$909,596,236","$333,214","$909,263,022"
68,69,2007,Spider-Man 3,"$894,860,230","$336,530,303","$558,329,927"
